"['classic uk pop', 'country rock', 'folk', 'folk rock', 'pub rock', 'roots rock', 'traditional folk']",0sWipBLpTodQYhxtZY4wK8,My New Woman,0.617,1.76e-05,0.774,-11.127,0.443,0.191,0.503,100.708,0.028,0,149533,4,9
"['outlaw country', 'traditional country']",2yRb8C9pTVBbmL8qE5tZ0z,Foolish Questions,0.745,2.55e-05,0.663,-12.335,0.368,0.181,0.639,91.84,0.217,1,188107,4,9
"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap', 'rock']",1HKRuEgxGPip4odmuYCNKO,The Update - Remastered 2009,0.391,0.0374,0.874,-5.967,0.933,0.399,0.726,157.383,0.131,1,195533,4,7
"['album rock', 'hard rock', 'instrumental rock', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'rock', 'speed metal', 'swedish hard rock']",7toFY3fEUJD9LLHLFgOd2I,Fire In The Sky,0.0236,0.00954,0.0937,-5.888,0.955,0.109,0.403,126.109,0.128,0,297587,4,10
"['latin', 'latin arena pop', 'latin pop', 'spanish pop']",7CAHNiJQ6x8kJ2JnONt8a4,Ne m´oublie pas,0.182,0.0,0.484,-6.937,0.683,0.13,0.608,144.048,0.0386,1,292913,4,0
"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop', 'mandopop']",0XCVQ78h3AxFBfaLvjWhdD,愛的廢墟,0.156,4.97e-05,0.731,-9.595,0.642,0.337,0.711,123.656,0.0282,0,272800,4,9
"['c-pop', 'indie cafe pop', 'mandopop']",0PtHyKcuQwIajq5UqwtK2q,兄弟的安慰,0.996,0.967,0.288,-28.619,0.0306,0.0946,0.439,78.063,0.0912,1,88867,4,6
"['scorecore', 'soundtrack']",6eqPs5jxDXTphjzTc5DIfe,The Ecstasy of the Bold,0.798,0.915,0.0315,-19.091,0.146,0.0885,0.306,80.074,0.0367,1,117280,4,10
"['disney', 'movie tunes']",702yzJiJxQA05Ea7EWuaw0,Pinocchio Goes to School (Village Awakening)/ Hi-Diddle-Dee-Dee [An Actors Life for Me],0.512,0.0742,0.565,-12.473,0.31,0.14,0.495,121.596,0.0498,1,218600,4,3
"['chicago house', 'deep house', 'detroit techno', 'float house', 'microhouse', 'minimal tech house', 'outsider house', 'techno']",20GsEnXw5K03ncdzlB0YAe,Criss Cross (Unmixed Version),0.668,0.107,0.544,-9.719,0.698,0.242,0.38,117.286,0.0392,0,358693,4,10
"['axe', 'brazilian reggae', 'forro', 'mpb', 'pagode', 'sertanejo', 'sertanejo universitario']",2AASYOHNVrNsCBpg5uDrgf,Falamansa Song,0.26,3.33e-05,0.816,-7.603,0.602,0.144,0.627,107.804,0.0364,1,234240,4,4
"['big beat', 'breakbeat', 'electronic', 'hardcore techno']",6Tyki5eVla7mgp3hzMo2xp,Rhythm Bomb,2.26e-05,0.889,0.333,-9.629,0.864,0.185,0.5,130.052,0.0702,0,252320,4,11
"['brill building pop', 'motown', 'northern soul']",6KHJFsoQjNwTPBFl6OJQ7I,Shake Sherry,0.559,0.000107,0.939,-3.014,0.839,0.427,0.707,120.672,0.0317,1,162947,4,5
"['classical', 'post-romantic era']",4aVahj5R0tWkFfEhvFXxzN,"Prélude à l'après-midi d'un faune, CD 87",0.968,0.859,0.0318,-21.537,0.0597,0.0712,0.162,109.307,0.0412,0,535933,3,8
"['pop rock', 'post-grunge']",6aBJnuVOoBbbj29Mm0U7QP,Something Else In Mind,0.208,6.98e-06,0.714,-7.065,0.815,0.158,0.632,122.792,0.0436,0,278240,4,2
['pop'],67aDq4Z8lErpWQ0Ky0xaJo,Say It First,0.737,0.000409,0.174,-10.323,0.406,0.114,0.526,119.388,0.103,1,247555,4,0
"['alternative rock', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'pop rock', 'stomp and holler', 'washington indie']",1IkMuykqzrILakT8E2fsGs,Wood Grain,0.976,0.0692,0.925,-7.795,0.576,0.274,0.542,104.987,0.0631,1,30067,3,11
"['album rock', 'art rock', 'blues-rock', 'british blues', 'british invasion', 'classic rock', 'electric blues', 'folk rock', 'hard rock', 'merseybeat', 'psychedelic rock', 'rock', 'roots rock', 'southern rock', 'symphonic rock']",4aNomat7Xuhy2mzGUHBh0a,Original Man (A Song for Keith),0.0168,0.155,0.655,-7.354,0.698,0.365,0.235,210.457,0.0324,1,321067,4,7
"['axe', 'mpb', 'pagode', 'sertanejo']",47ZzP3SLnv1KJokYA1TPb9,Sensual,0.568,6.13e-06,0.471,-7.877,0.522,0.173,0.574,117.194,0.0361,0,197773,4,0
"['bassline', 'brostep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'moombahton']",1oG37vdXihx3SCZstuxoTE,Love No More,0.00582,8.88e-05,0.449,-4.531,0.795,0.0903,0.757,148.356,0.164,0,232293,4,7
"['dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap music', 'urban contemporary']",1hnNHPy45iCbdXxFTusDOn,Please Don't Cry (feat. Rich Da Kid),0.0325,0.0,0.325,-6.971,0.475,0.0959,0.802,141.949,0.101,1,229807,4,1
[],5IOLYdM4UVBT10LMFrhh7z,Honey,0.89,0.0293,0.327,-13.59,0.113,0.0724,0.625,112.239,0.0396,1,180159,4,0
"['japanese city pop', 'shibuya-kei']",7e6X02St6VWcmW1VuxrdWS,1%の関係 - A NIGHT IN THE NEXT LIFE,0.0273,0.00687,0.534,-13.537,0.545,0.407,0.514,124.119,0.0317,0,248533,4,6
"[""children's music"", 'kindie rock']",4RqBLOSs5DCAnOaK3GHS4d,The Animal Fair,0.905,0.00619,0.603,-10.164,0.329,0.15,0.514,140.305,0.036,1,128173,3,9
"['bossa nova', 'mpb', 'samba']",6SNL798U9yLuGPnC7kaSg8,Anjo de Vitrô,0.71,1.45e-05,0.462,-9.854,0.519,0.205,0.819,115.015,0.0303,0,322160,4,4
"['dance pop', 'pop rap', 'reggae fusion']",4oyKHzguNFmbo6JjupduVy,Supa Hypnotic,0.0895,0.0,0.702,-6.297,0.56,0.118,0.737,91.005,0.135,0,215653,4,6
"['chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'singer-songwriter', 'stomp and holler']",6cQnQAaUzKnsTOiPuo5YWa,Size Too Small,0.928,0.405,0.378,-17.101,0.186,0.124,0.595,160.052,0.0337,1,184867,4,5
"['dance pop', 'edm', 'tropical house']",52Ko487k76Kv6hQcM7rjTy,Laura Non C'è - Dj Antoine vs. Mad Mark Radio Edit,0.0642,2.2e-06,0.663,-3.942,0.841,0.445,0.665,127.979,0.0836,0,206550,4,9
"['comedy', 'comic', 'progressive bluegrass']",2V29WPxooxq4wYNDYGg4Mn,I Had a Vision,0.677,0.0,0.217,-9.745,0.261,0.0855,0.294,82.423,0.0321,1,215587,4,7
"['classic opm', 'manila sound', 'opm']",76jOOHx7h06Jjy80ZDdZ4s,Kapantay Ay Langit,0.939,0.0134,0.115,-18.718,0.114,0.0814,0.241,70.812,0.0354,0,241000,3,6
"['classical', 'early romantic era']",1vFO27gePXyxF3DzYtMDlB,"Piano Concerto No.1 In G Minor, Op.25, MWV O7: 2. Andante",0.987,0.865,0.0594,-28.772,0.0222,0.0768,0.239,77.759,0.036,1,393480,4,4
['sertanejo universitario'],7wD2KvGCkCMLiPPaTOpNyD,"Chora, Chora - Ao Vivo",0.557,0.0,0.944,-2.418,0.942,0.959,0.581,179.967,0.0494,1,167493,4,0
"['outlaw country', 'traditional country']",5TDD1H04Sjo3rX1JRAyVVS,The Frozen Logger,0.688,0.17,0.73,-13.532,0.531,0.0901,0.806,95.082,0.0926,1,140240,3,7
['hands up'],3T2zt7xbEooaXIlDMKXPeq,Don't Stop The Dancing - Ronny Bibow's Well Known Retro Style Edit,0.021,0.00336,0.675,-5.788,0.934,0.312,0.694,139.982,0.0556,1,234213,4,4
"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",1IHONYCwVIYK12zbQk7yT5,Ojalá,0.13,0.0,0.883,-5.338,0.894,0.16,0.64,100.129,0.0797,1,219680,4,4
"['classical', 'early modern classical', 'russian modern classical']",21m5J4YwTWxCQL2VbwSn4V,"Le sacre du printemps, Pt. 2 ""Le sacrifice"": XII. Action rituelle des ancêtres",0.917,0.558,0.0407,-21.981,0.0141,0.115,0.198,114.203,0.0347,1,240613,4,3
"['classic swedish pop', 'europop', 'swedish pop']",6N1i7AGwTLIDNedkYl0VsY,Baby Let's Run Away,0.184,3.19e-06,0.802,-5.259,0.907,0.0643,0.67,172.56,0.0889,1,151293,4,0
"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",0YJOHwZMWa7oXOw0vEpq6k,Bésame,0.787,0.0,0.19,-11.473,0.356,0.143,0.417,80.235,0.0734,0,276760,4,9
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",38vAPXO2IprUcEoxvon1kA,Desamor,0.747,0.0,0.473,-7.347,0.495,0.101,0.549,141.99,0.0301,0,204187,4,4
"['classical', 'late romantic era']",3q9UxMYjJCemLBhtB2EqU7,"Symphony No. 7 in E Major, WAB 107 (1885 Version, Ed. A. Gutmann): IV. Finale. Bewegt, doch nicht schnell",0.955,0.744,0.0415,-16.848,0.104,0.305,0.217,109.455,0.0378,1,848461,4,11
"['latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol', 'spanish pop', 'spanish rock']",6ozQBfMhJI63liVsD4Ds17,Depende,0.375,1.8e-05,0.351,-6.316,0.667,0.0672,0.772,99.981,0.078,1,232827,4,0
"['modern rock', 'pop nacional', 'pop punk', 'post-grunge', 'rock']",3ekkXHwkwKimeYmvhmNGCK,Closer To The Edge,0.0099,4.54e-06,0.102,-3.717,0.948,0.0809,0.502,139.979,0.121,1,273467,4,6
"['swedish hip hop', 'swedish pop']",3rr7r3uFj2qcw9c5GUOqOy,Karmakontot,0.133,0.0,0.686,-4.303,0.958,0.104,0.638,165.824,0.128,1,308902,4,2
"['abstract', 'ambient', 'compositional ambient', 'dark jazz', 'drift', 'drone', 'dub techno', 'electronic', 'fourth world', 'intelligent dance music', 'microhouse', 'minimal techno', 'warm drone']",1BsxBzPP7h2bFMwam63kTD,Decryption,0.0154,0.884,0.476,-19.094,0.265,0.134,0.666,81.47,0.0465,0,364040,4,5
"['brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",36EZKIi9q21M6AZFhe4xPA,California Saga (Big Sur) - Remastered 2000,0.134,0.00796,0.229,-14.131,0.365,0.159,0.506,146.689,0.0346,1,176360,3,11
"['acid house', 'chicago house', 'hip house']",5mZ0EWwQDRx1b2N1XEkKEW,Move Your Body - Tommy Vee & Luca Guerrieri Dub Mix,0.000269,0.701,0.696,-7.426,0.477,0.0796,0.792,125.024,0.0771,1,438240,4,9
"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm']",4jqbMQSXFk7JcC5Pt9nFJS,Dirty,0.00737,0.544,0.63,-4.219,0.867,0.212,0.666,105.246,0.0811,1,227013,4,2
"['classical', 'italian opera', 'late romantic era']",51FWWBVXgtD8IoFFWL6yXb,"6 Romanze II: No. 2, La zingara",0.972,9.71e-06,0.239,-15.721,0.242,0.231,0.395,93.562,0.116,1,135573,3,0
"['british soundtrack', 'epicore', 'scorecore', 'soundtrack', 'video game music']",1x0m06m3ohVTtojBRs32XS,Nately,0.351,0.951,0.0396,-15.658,0.233,0.0962,0.223,48.943,0.0325,0,60071,4,7
"['country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country']",5ckMCn1t2DCsxPxBlp6e0t,Wildwood Flower,0.954,0.897,0.749,-13.15,0.411,0.111,0.61,102.571,0.0314,1,145792,4,0
"['alternative metal', 'death metal', 'florida death metal', 'groove metal', 'hard rock', 'metal', 'rock', 'speed metal', 'technical death metal']",1Wjqav4gklkVGLi9DgQ9o1,Misanthrope,0.000223,0.00235,0.219,-5.512,0.988,0.124,0.39,100.297,0.117,1,303907,4,7
"['blues', 'blues-rock', 'classic rock', 'electric blues', 'hard rock', 'modern blues', 'rock', 'southern rock', 'texas blues', 'traditional blues']",4DSjgDMxAbKy7JlJFfKQVg,Black Cat Bone (Live) - Remastered,0.131,0.0176,0.536,-11.356,0.843,0.927,0.245,132.503,0.0666,0,518147,4,6
"['adult standards', 'australian dance', 'bubblegum pop', 'disco', 'hollywood', 'mellow gold', 'new wave pop', 'soft rock']",4QO92vg1QuYBbyitoxFSfK,Learn To Love Yourself,0.871,0.0176,0.14,-9.892,0.301,0.101,0.348,75.982,0.0287,1,261440,4,7
"['adult standards', 'brill building pop', 'christmas', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",4OMTgoCriwd1DCY8nCdMj4,The Boat That I Row - Mono,0.364,7.5e-05,0.937,-3.086,0.769,0.077,0.56,83.918,0.0302,1,158533,4,7
"['classic rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",3hIV4sDuHQvlZacq34QUtB,River of Time,0.415,0.207,0.557,-12.227,0.492,0.137,0.558,140.465,0.0265,0,183960,4,4
